popularity,budget,revenue,original_title,Star,Co Star,director,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
3.877764,29000000,287506194,Pitch Perfect 2,Anna Kendrick,Rebel Wilson,Elizabeth Banks,115,Comedy,1264,6.8,2015,26679988.26,264505582.1
3.64821,40000000,162610473,Bridge of Spies,Tom Hanks,Mark Rylance,Steven Spielberg,141,Thriller,1638,7.1,2015,36799983.81,149601569.3
3.644541,58000000,150170815,Goosebumps,Jack Black,Dylan Minnette,Rob Letterman,103,Adventure,600,6.2,2015,53359976.52,138157089
3.557846,6000000,35401758,Room,Brie Larson,Jacob Tremblay,Lenny Abrahamson,117,Drama,1520,8,2015,5519997.571,32569603.03
3.339135,175000000,331926147,The Good Dinosaur,Raymond Ochoa,Jack Bright,Peter Sohn,93,Adventure,1087,6.6,2015,160999929.2,305371920.9
3.23737,50000000,71561644,Run All Night,Liam Neeson,Ed Harris,Jaume Collet-Serra,114,Action,814,6.3,2015,45999979.76,65836683.51
3.227329,11000000,62076141,Brooklyn,Saoirse Ronan,Domhnall Gleeson,John Crowley,111,Drama,754,7.3,2015,10119995.55,57110024.59
3.202719,28000000,201634991,Straight Outta Compton,O'Shea Jackson Jr.,Corey Hawkins,F. Gary Gray,147,Drama,918,7.7,2015,25759988.67,185504110.1
3.080505,90000000,140396650,The Last Witch Hunter,Vin Diesel,Rose Leslie,Breck Eisner,106,Fantasy,879,5.6,2015,82799963.57,129164861.2
3.079522,30000000,34441873,Steve Jobs,Michael Fassbender,Kate Winslet,Danny Boyle,122,History,1035,6.9,2015,27599987.86,31686509.22
3.053421,75000000,108145109,The Man from U.N.C.L.E.,Henry Cavill,Armie Hammer,Guy Ritchie,116,Comedy,1548,7,2015,68999969.64,99493456.5
3.025852,25000000,42629776,The Age of Adaline,Blake Lively,Michiel Huisman,Lee Toland Krieger,112,Fantasy,1221,7.3,2015,22999989.88,39219376.66
3.023253,10000000,14333790,Hardcore Henry,Sharlto Copley,Haley Bennett,Ilya Naishuller,97,Action,396,5.9,2015,9199995.952,13187081
2.976436,135000000,368871007,Home,Jim Parsons,Rihanna,Tim Johnson,94,Fantasy,1060,6.9,2015,124199945.4,339361177.1
2.968254,12000000,85512300,Paper Towns,Nat Wolff,Cara Delevingne,Jake Schreier,109,Drama,1252,6.2,2015,11039995.14,78671281.38
2.885126,4000000,9064511,The Lobster,Colin Farrell,Rachel Weisz,Yorgos Lanthimos,118,Thriller,638,6.6,2015,3679998.381,8339346.451
2.883233,11800000,40272135,Carol,Cate Blanchett,Rooney Mara,Todd Haynes,118,Romance,562,7.1,2015,10855995.22,37050347.9
2.814802,35000000,194564672,The Intern,Robert De Niro,Anne Hathaway,Nancy Meyers,121,Comedy,1255,7.1,2015,32199985.83,178999419.5
2.798017,55000000,203427584,Everest,Jason Clarke,Jake Gyllenhaal,Baltasar Korm?kur,121,Adventure,1172,6.7,2015,50599977.74,187153294.9
2.793297,60000000,101134059,Joy,Jennifer Lawrence,Bradley Cooper,David O. Russell,124,Comedy,1001,6.4,2015,55199975.71,93043293.34
2.614499,105000000,133718711,Point Break,Edgar Ram?rez,Luke Bracey,Ericson Core,114,Action,505,5.5,2015,96599957.5,123021160
2.584264,20000000,36606743,Burnt,Bradley Cooper,Sienna Miller,John Wells,100,Drama,631,6.3,2015,18399991.9,33678188.74
2.578919,26000000,30523226,Self/less,Ryan Reynolds,Ben Kingsley,Tarsem Singh,116,Science Fiction,719,6.2,2015,23919989.48,28081355.56
2.575711,60000000,30418560,Mortdecai,Johnny Depp,Gwyneth Paltrow,David Koepp,106,Comedy,696,5.3,2015,55199975.71,27985062.89
2.557859,15000000,64191523,The Danish Girl,Eddie Redmayne,Alicia Vikander,Tom Hooper,120,Drama,867,7.3,2015,13799993.93,59056175.18
2.550747,70000000,17752940,Blackhat,Chris Hemsworth,Leehom Wang,Michael Mann,133,Mystery,584,5,2015,64399971.66,16332697.61
2.487849,30000000,84025816,Sicario,Emily Blunt,Benicio del Toro,Denis Villeneuve,121,Action,1479,7.1,2015,27599987.86,77303716.71
2.487042,120000001,167977596,Fantastic Four,Miles Teller,Kate Mara,Josh Trank,100,Action,1565,4.4,2015,110399952.3,154539320.3
2.46449,3500000,40423945,The Witch,Anya Taylor-Joy,Ralph Ineson,Robert Eggers,92,Mystery,700,5.8,2015,3219998.583,37190013.04
2.404473,65000000,235666219,Spy,Melissa McCarthy,Jason Statham,Paul Feig,120,Action,1840,6.9,2015,59799973.69,216812826.1
2.395366,50100000,153962963,Focus,Will Smith,Margot Robbie,Glenn Ficarra|John Requa,105,Romance,1831,6.7,2015,46091979.72,141645863.6
2.354654,35000000,82347656,Hitman: Agent 47,Rupert Friend,Zachary Quinto,Aleksander Bach,96,Action,820,5.5,2015,32199985.83,75759810.19
2.345821,100000000,93820758,In the Heart of the Sea,Chris Hemsworth,Benjamin Walker,Ron Howard,122,Thriller,805,6.4,2015,91999959.52,86315059.38
2.331567,35000000,137935567,Creed,Michael B. Jordan,Sylvester Stallone,Ryan Coogler,133,Drama,1171,7.3,2015,32199985.83,126900665.8
2.31767,35000000,140795793,Trainwreck,Amy Schumer,Bill Hader,Judd Apatow,125,Comedy,849,6.1,2015,32199985.83,129532072.6
2.29573,13000000,32848185,Eye in the Sky,Helen Mirren,Aaron Paul,Gavin Hood,102,Drama,265,7.2,2015,11959994.74,30220316.9
2.28135,25000000,42972994,Legend,Tom Hardy,Emily Browning,Brian Helgeland,131,Crime,619,6.7,2015,22999989.88,39535137.08
2.234573,150000000,128388320,Pan,Levi Miller,Garrett Hedlund,Joe Wright,111,Adventure,586,5.9,2015,137999939.3,118117202.4
2.140199,99000000,246233113,The Peanuts Movie,Noah Schnapp,Bill Melendez,Steve Martino,88,Adventure,414,6.4,2015,91079959.92,226534364.3
2.121884,35000000,48623572,Concussion,Will Smith,Bitsie Tulloch,Peter Landesman,123,Drama,500,6.9,2015,32199985.83,44733666.56
2.096273,25000000,52395996,The Night Before,Joseph Gordon-Levitt,Seth Rogen,Jonathan Levine,100,Comedy,363,6.1,2015,22999989.88,48204295.11
2.080935,2500000,5214043,Knock Knock,Keanu Reeves,Lorenza Izzo,Eli Roth,99,Drama,473,4.8,2015,2299998.988,4796917.449
2.070708,34000000,63013281,The Longest Ride,Scott Eastwood,Britt Robertson,"George Tillman, Jr.",128,Romance,711,7.3,2015,31279986.24,57972193.01
2.060162,80000000,466183544,Hotel Transylvania 2,Adam Sandler,Andy Samberg,Genndy Tartakovsky,89,Animation,919,6.8,2015,73599967.62,428888671.8
2.055572,17000000,24000000,Love the Coopers,Steve Martin,Diane Keaton,Jessie Nelson,107,Family,111,5.3,2015,15639993.12,22079990.28
2.049886,35000000,61181942,The Walk,Joseph Gordon-Levitt,Ben Kingsley,Robert Zemeckis,123,Adventure,706,6.8,2015,32199985.83,56287361.87
2.026651,11000000,1863315,Tracers,Marie Avgeropoulos,Taylor Lautner,Daniel Benmayor,94,Action,326,5.9,2015,10119995.55,1714249.046
2.000338,31000000,104384188,Vacation,Ed Helms,Christina Applegate,John Francis Daley|Jonathan M. Goldstein,99,Adventure,846,6.1,2015,28519987.45,96033410.71
1.984529,35000000,95437994,Poltergeist,Sam Rockwell,Rosemarie DeWitt,Gil Kenan,93,Horror,589,5,2015,32199985.83,87802915.85
1.980039,4000000,187112,Maggie,Arnold Schwarzenegger,Abigail Breslin,Henry Hobson,95,Horror,384,5.1,2015,3679998.381,172142.9643
1.95632,50000000,3324330,Child 44,Tom Hardy,Gary Oldman,Daniel Espinosa,137,Crime,341,5.9,2015,45999979.76,3058382.254
1.926739,5000000,58978653,The Gift,Jason Bateman,Rebecca Hall,Joel Edgerton,108,Thriller,631,6.6,2015,4599997.976,54260336.89
1.904898,50000000,240360392,Daddy's Home,Will Ferrell,Mark Wahlberg,Sean Anders,96,Comedy,568,5.7,2015,45999979.76,221131463.3
1.865007,64000000,97571250,The Little Prince,Jeff Bridges,Rachel McAdams,Mark Osborne,92,Adventure,423,7.5,2015,58879974.09,89765510.5
1.82313,11930000,18340000,The Dressmaker,Kate Winslet,Liam Hemsworth,Jocelyn Moorhouse,118,Drama,197,6.9,2015,10975595.17,16872792.58
1.758618,8500000,43528634,The DUFF,Mae Whitman,Robbie Amell,Ari Sandel,100,Romance,753,6.8,2015,7819996.559,40046325.66
1.742286,10000000,52882018,Sinister 2,Shannyn Sossamon,James Ransone,Ciaran Foy,97,Horror,331,5.5,2015,9199995.952,48651435.15
1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Kevin James,Raini Rodriguez,Andy Fickman,94,Action,422,5.3,2015,27599987.86,98989419.08
1.651078,4000000,50163103,The Boy Next Door,Jennifer Lopez,Ryan Guzman,Rob Cohen,91,Thriller,810,3.9,2015,3679998.381,46150034.45
1.532997,30000000,49263404,Entourage,Jeremy Piven,Adrian Grenier,Doug Ellin,104,Comedy,364,6.2,2015,27599987.86,45322311.74
1.510096,23000000,79799880,The Wedding Ringer,Kevin Hart,Josh Gad,Jeremy Garelick,101,Comedy,446,6.5,2015,21159990.69,73415857.3
1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Tye Sheridan,Logan Miller,Christopher B. Landon,93,Comedy,288,6.2,2015,13799993.93,13671898.7
1.495112,5000000,98450062,The Visit,Olivia DeJonge,Ed Oxenbould,M. Night Shyamalan,94,Horror,729,5.9,2015,4599997.976,90574017.19
1.483246,53000000,99775678,Black Mass,Johnny Depp,Joel Edgerton,Scott Cooper,122,Crime,848,6.3,2015,48759978.55,91793583.37
1.449072,8900000,50136,Heist,Jeffrey Dean Morgan,Robert De Niro,Scott Mann,93,Crime,233,5.4,2015,8187996.397,46125.0997
1.448002,15000000,61548707,Krampus,Adam Scott,Toni Collette,Michael Dougherty,98,Horror,342,5.9,2015,13799993.93,56624785.53
1.443406,20000000,208588,Dark Places,Charlize Theron,Nicholas Hoult,Gilles Paquet-Brenner,113,Drama,322,5.7,2015,18399991.9,191900.8756
1.41239,5000000,54418872,No Escape,Owen Wilson,Lake Bell,John Erick Dowdle,103,Action,519,6.7,2015,4599997.976,50065340.21
1.40805,700000,17986781,Dope,Shameik Moore,Kiersey Clemons,Rick Famuyiwa,103,Crime,448,7.3,2015,643999.7166,16547831.24
1.388251,28000000,28208085,American Ultra,Jesse Eisenberg,Kristen Stewart,Nima Nourizadeh,96,Comedy,695,5.9,2015,25759988.67,25951426.78
1.388032,11000000,61619773,Woman in Gold,Helen Mirren,Ryan Reynolds,Simon Curtis,120,Drama,277,7.3,2015,10119995.55,56690166.22
1.376605,30000000,105011053,Sisters,Tina Fey,Amy Poehler,Jason Moore,118,Comedy,399,5.9,2015,27599987.86,96610126.25
1.360926,12000000,32248241,Project Almanac,Jonny Weston,Virginia Gardner,Dean Israelite,106,Science Fiction,637,6.3,2015,11039995.14,29668368.67
1.355822,25000000,72629670,The Transporter Refueled,Ed Skrein,Ray Stevenson,Camille Delamarre,96,Thriller,407,5.3,2015,22999989.88,66819267
1.345982,55000000,74679822,Crimson Peak,Mia Wasikowska,Jessica Chastain,Guillermo del Toro,119,Mystery,819,6.4,2015,50599977.74,68705406.01
1.338481,14800000,122413057,Magic Mike XXL,Channing Tatum,Matt Bomer,Gregory Jacobs,115,Comedy,501,6.3,2015,13615994.01,112619962.9
1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Chris J. Murray,Brit Shaw,Gregory Plotkin,88,Horror,267,5,2015,9199995.952,71851557.15
1.316239,15000000,8235661,Trumbo,Bryan Cranston,Diane Lane,Jay Roach,124,Drama,273,7.2,2015,13799993.93,7576804.786
1.315266,19500000,32189727,Secret in Their Eyes,Chiwetel Ejiofor,Nicole Kidman,Billy Ray,111,Crime,202,6.2,2015,17939992.11,29614535.81
1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Tom Kenny,Bill Fagerbakke,Paul Tibbitt,93,Family,533,5.7,2015,68079970.04,286666383.3
1.278928,20000000,43967255,Max,Thomas Haden Church,Josh Wiggins,Boaz Yakin,111,Adventure,214,7,2015,18399991.9,40449856.8
1.225325,40000000,10664749,The Gunman,Sean Penn,Jasmine Trinca,Pierre Morel,115,Action,283,5.6,2015,36799983.81,9811564.763
1.191138,1000000,62882090,Unfriended,Shelley Hennig,Moses Jacob Storm,Levan Gabriadze,82,Horror,643,5.6,2015,919999.5952,57851497.35
1.178831,35000000,51680201,Hot Pursuit,Reese Witherspoon,Sof?a Vergara,Anne Fletcher,87,Action,472,5.5,2015,32199985.83,47545764
1.164724,10000000,104303851,Insidious: Chapter 3,Dermot Mulroney,Stefanie Scott,Leigh Whannell,97,Drama,610,6.3,2015,9199995.952,95959500.7
1.142518,6000000,41387687,The Lady in the Van,Maggie Smith,Alex Jennings,Nicholas Hytner,104,Comedy,135,5.9,2015,5519997.571,38076655.29
1.138395,40000000,34227298,Victor Frankenstein,James McAvoy,Daniel Radcliffe,Paul McGuigan,109,Drama,408,5.5,2015,36799983.81,31489100.3
1.125239,8000000,3759286,Anomalisa,Jennifer Jason Leigh,David Thewlis,Duke Johnson|Charlie Kaufman,90,Animation,259,6.7,2015,7359996.762,3458541.598
1.03839,2000000,1477002,The Diary of a Teenage Girl,Bel Powley,Kristen Wiig,Marielle Heller,102,Drama,186,6.8,2015,1839999.19,1358841.242
1.007054,11000000,27391084,Irrational Man,Emma Stone,Joaquin Phoenix,Woody Allen,95,Mystery,319,6.1,2015,10119995.55,25199786.19
0.956096,18000000,41325328,Ricki and the Flash,Meryl Streep,Kevin Kline,Jonathan Demme,100,Comedy,152,5.5,2015,16559992.71,38019285.03
0.950793,12000000,60273173,The Perfect Guy,Michael Ealy,Sanaa Lathan,David M. Rosenthal,100,Drama,122,5.6,2015,11039995.14,55451294.76
0.93762,10000000,7587485,While We're Young,Ben Stiller,Naomi Watts,Noah Baumbach,97,Drama,265,5.9,2015,9199995.952,6980483.129
0.927339,40000000,106511453,Get Hard,Will Ferrell,Kevin Hart,Etan Cohen,100,Comedy,661,5.9,2015,36799983.81,97990493.64
0.906036,25000000,24902723,The 33,Antonio Banderas,Rodrigo Santoro,Patricia Riggen,120,History,262,5.8,2015,22999989.88,22910495.08
0.898296,14000000,16002420,Suffragette,Carey Mulligan,Helena Bonham Carter,Sarah Gavron,106,Drama,231,7.1,2015,12879994.33,14722219.92
0.880938,6000000,11122090,We Are Your Friends,Zac Efron,Emily Ratajkowski,Max Joseph,96,Drama,412,6.2,2015,5519997.571,10232318.3
0.832487,10000000,85978266,The Second Best Exotic Marigold Hotel,Dev Patel,Judi Dench,John Madden,122,Drama,196,6.4,2015,9199995.952,79099969.92
0.829111,20000000,6420319,Little Boy,Jakob Salvati,Emily Watson,Alejandro Monteverde,106,Comedy,113,7.1,2015,18399991.9,5906690.881
0.814206,37000000,26250020,Aloha,Bradley Cooper,Emma Stone,Cameron Crowe,105,Adventure,469,5.2,2015,34039985.02,24150007.77
0.795762,28000000,7002261,Our Brand Is Crisis,Sandra Bullock,Anthony Mackie,David Gordon Green,108,Drama,122,5.7,2015,25759988.67,6442077.285
0.706023,7000000,573335,Freeheld,Julianne Moore,Ellen Page,Peter Sollett,103,Romance,86,7.1,2015,6439997.166,527467.9679
0.699932,3000000,695269,Love,Karl Glusman,Aomi Muyock,Gaspar No?,134,Drama,307,4.7,2015,2759998.786,639647.1986
0.69957,9600000,2541554,Truth,Robert Redford,Cate Blanchett,James Vanderbilt,121,Drama,89,6.4,2015,8831996.114,2338228.651
0.690479,10000000,10835752,Danny Collins,Al Pacino,Annette Bening,Dan Fogelman,107,Comedy,114,6.6,2015,9199995.952,9968887.454
0.689579,15000000,3020664,Rock the Kasbah,Bill Murray,Zooey Deschanel,Barry Levinson,100,Comedy,56,5.1,2015,13799993.93,2779009.657
0.673792,1000000,14444999,"Hello, My Name Is Doris",Sally Field,Max Greenfield,Michael Showalter,95,Comedy,87,6.6,2015,919999.5952,13289393.23
0.669351,13000000,1784763,The Vatican Tapes,Olivia Taylor Dudley,Michael Pe?a,Mark Neveldine,91,Thriller,164,4.5,2015,11959994.74,1641981.238
0.661471,8000000,1411927,99 Homes,Andrew Garfield,Laura Dern,Ramin Bahrani,112,Drama,121,6.8,2015,7359996.762,1298972.268
0.661163,14000000,12314651,Hot Tub Time Machine 2,Rob Corddry,Craig Robinson,Steve Pink,93,Comedy,244,5,2015,12879994.33,11329473.94
0.654046,4000000,143101,Manglehorn,Al Pacino,Chris Messina,David Gordon Green,97,Drama,35,5,2015,3679998.381,131652.8621
0.602165,8000000,35991087,A Walk in the Woods,Robert Redford,Nick Nolte,Ken Kwapis,104,Drama,171,5.4,2015,7359996.762,33111785.47
0.599655,3300000,64110728,The Lazarus Effect,Olivia Wilde,Mark Duplass,David Gelb,83,Thriller,327,4.9,2015,3035998.664,58981843.81
0.577814,35000000,14431253,Unfinished Business,Vince Vaughn,Dave Franco,Ken Scott,90,Comedy,241,4.9,2015,32199985.83,13276746.92
0.570744,2000000,45431,Lost River,Christina Hendricks,Saoirse Ronan,Ryan Gosling,95,Fantasy,129,5.7,2015,1839999.19,41796.5016
0.532205,100000,42664410,The Gallows,Cassidy Gifford,Ryan Shoos,Travis Cluff|Chris Lofing,87,Horror,247,5,2015,91999.9595,39251239.93
0.524315,10000000,3334927,By the Sea,Angelina Jolie,Brad Pitt,Angelina Jolie,122,Drama,82,5.4,2015,9199995.952,3068131.49
0.46209,9000000,21571189,Black or White,Kevin Costner,Jennifer Ehle,Mike Binder,121,Drama,72,6.7,2015,8279996.357,19845485.15
0.450872,13000000,1646788,I Saw the Light,Tom Hiddleston,Elizabeth Olsen,Marc Abraham,123,Drama,19,5.6,2015,11959994.74,1515044.293
0.435582,5000000,2333684,Jem and the Holograms,Aubrey Peeples,Stefanie Scott,Jon M. Chu,119,Drama,69,5.7,2015,4599997.976,2146988.335
0.424813,6000000,90777,Beasts of No Nation,Idris Elba,Opeyemi Fagbohungbe,Cary Fukunaga,137,Drama,306,7.5,2015,5519997.571,83514.8032
0.414913,3000000,3387000,Demonic,Maria Bello,Frank Grillo,Will Canon,83,Thriller,91,5,2015,2759998.786,3116038.629
0.402236,447524,771317,The D Train,Jack Black,James Marsden,Andrew Mogel|Jarrad Paul,101,Drama,47,4.2,2015,411721.8988,709611.3278
0.365901,10000000,17472,Strangerland,Nicole Kidman,Joseph Fiennes,Kim Farrant,111,Drama,48,5,2015,9199995.952,16074.2329
0.336107,2000000,2801508,Captive,Kate Mara,David Oyelowo,Jerry Jameson,97,Crime,55,5.7,2015,1839999.19,2577386.226
0.298751,5000000,4842699,90 Minutes in Heaven,Kate Bosworth,Hayden Christensen,Michael Polish,121,Drama,24,5.7,2015,4599997.976,4455281.12
0.259794,600000,7087452,Grandma,Lily Tomlin,Julia Garner,Paul Weitz,78,Drama,81,5.6,2015,551999.7571,6520452.971
0.731022,3000000,67790117,War Room,Priscilla C. Shirer,T.C. Stallings,Alex Kendrick,120,Drama,57,6.9,2015,2759998.786,62366880.2
0.076109,13500000,187674,Stonewall,Jeremy Irvine,Jonny Beauchamp,Roland Emmerich,129,Drama,14,5.6,2015,12419994.54,172660.004
24.949134,165000000,621752480,Interstellar,Matthew McConaughey,Jessica Chastain,Christopher Nolan,169,Adventure,6498,8,2014,151980023.4,572690645.1
14.311205,170000000,773312399,Guardians of the Galaxy,Chris Pratt,Zoe Saldana,James Gunn,121,Action,5612,7.9,2014,156585478.6,712291130.2
12.971027,170000000,714766572,Captain America: The Winter Soldier,Chris Evans,Scarlett Johansson,Joe Russo|Anthony Russo,136,Action,3848,7.6,2014,156585478.6,658365092.9
11.422751,20000000,78739897,John Wick,Keanu Reeves,Michael Nyqvist,Chad Stahelski|David Leitch,101,Action,2712,7,2014,18421821.02,72526614.47
10.739009,125000000,752100229,The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence,Josh Hutcherson,Francis Lawrence,123,Science Fiction,3590,6.6,2014,115136381.3,692752790.2
10.174599,250000000,955119788,The Hobbit: The Battle of the Five Armies,Martin Freeman,Ian McKellen,Peter Jackson,144,Adventure,3110,7.1,2014,230272762.7,879752289.1
8.691294,165000000,652105443,Big Hero 6,Scott Adsit,Ryan Potter,Don Hall|Chris Williams,102,Adventure,4185,7.8,2014,151980023.4,600648487.7
8.110711,14000000,233555708,The Imitation Game,Benedict Cumberbatch,Keira Knightley,Morten Tyldum,113,History,3478,8,2014,12895274.71,215126072.5
7.137273,34000000,348319861,The Maze Runner,Dylan O'Brien,Ki Hong Lee,Wes Ball,113,Action,3425,7,2014,31317095.73,320834306.8
6.907148,18000000,103215094,Birdman,Michael Keaton,Zach Galifianakis,Alejandro Gonz?lez I??rritu,119,Drama,2801,7.3,2014,16579638.91,95070499.39
6.438727,61000000,369330363,Gone Girl,Ben Affleck,Rosamund Pike,David Fincher,145,Mystery,3720,7.9,2014,56186554.1,340186892.1
6.415818,68000000,211817906,Fury,Brad Pitt,Shia LaBeouf,David Ayer,135,War,2572,7.4,2014,62634191.45,195103577.6
6.286692,127000000,349424282,Night at the Museum: Secret of the Tomb,Ben Stiller,Rami Malek,Shawn Levy,97,Adventure,1111,6.1,2014,116978563.4,321851579.1
6.14502,85000000,288747895,Divergent,Shailene Woodley,Theo James,Neil Burger,139,Action,3038,6.9,2014,78292739.32,265963102
6.052479,250000000,746000000,X-Men: Days of Future Past,Hugh Jackman,James McAvoy,Bryan Singer,131,Action,4006,7.6,2014,230272762.7,687133923.9
5.947136,40000000,463360063,Lucy,Scarlett Johansson,Morgan Freeman,Luc Besson,89,Action,3699,6.3,2014,36843642.03,426796807.3
5.787396,125000000,477200000,Teenage Mutant Ninja Turtles,Megan Fox,Will Arnett,Jonathan Liebesman,101,Science Fiction,1836,5.8,2014,115136381.3,439544649.4
5.701683,40000000,126069509,Sex Tape,Cameron Diaz,Jason Segel,Jake Kasdan,97,Comedy,1150,5.3,2014,36843642.03,116121496.5
5.522641,8500000,38697217,Nightcrawler,Jake Gyllenhaal,Rene Russo,Dan Gilroy,117,Crime,2087,7.6,2014,7829273.932,35643660.27
4.983782,210000000,245500000,Transformers: Age of Extinction,Mark Wahlberg,Stanley Tucci,Michael Bay,165,Science Fiction,2161,5.9,2014,193429120.7,226127853
4.93082,30000000,174600318,The Grand Budapest Hotel,Ralph Fiennes,Tony Revolori,Wes Anderson,99,Comedy,2802,7.9,2014,27632731.52,160822790.4
4.780419,3300000,13993093,Whiplash,Miles Teller,J.K. Simmons,Damien Chazelle,105,Drama,2372,8.2,2014,3039600.468,12888912.73
4.452507,170000000,708200000,Dawn of the Planet of the Apes,Andy Serkis,Jason Clarke,Matt Reeves,130,Science Fiction,2625,7.4,2014,156585478.6,652316682.2
4.145209,55000000,192330738,The Equalizer,Denzel Washington,Marton Csokas,Antoine Fuqua,132,Thriller,2100,7.2,2014,50660007.79,177154121.6
4.105685,42000000,106645357,Horrible Bosses 2,Jason Bateman,Jason Sudeikis,Sean Anders,108,Comedy,1033,6.1,2014,38685824.13,98230083.94
